,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
103,Arm pain,Arm pain: are you currently experiencing any of these following symptoms? , knee pain
104,Arm pain,Arm pain: are you currently experiencing any of these following symptoms? , none of these  
105,Arm pain,Arm pain:,
106,Arm pain,Arm pain:,
107,Arm pain,Arm pain:,
0,Arm swelling ,Arm swelling : when did it start?,Arm swelling 
1,Arm swelling ,Arm swelling : when do you notice the swelling?, today
2,Arm swelling ,Arm swelling : when do you notice the swelling?, last week
3,Arm swelling ,Arm swelling : when do you notice the swelling?, last month
4,Arm swelling ,Arm swelling : when do you notice the swelling?, 1-3 months ago
5,Arm swelling ,Arm swelling : when do you notice the swelling?, over 3 months ago
6,Arm swelling ,Arm swelling : is one arm swollen or are both?,  forearm
7,Arm swelling ,Arm swelling : is one arm swollen or are both?, wrist
8,Arm swelling ,Arm swelling : is one arm swollen or are both?, entire hand
9,Arm swelling ,Arm swelling : is one arm swollen or are both?, fingers
10,Arm swelling ,Arm swelling : is one arm swollen or are both?, none of these  
11,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?, one both
12,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?, both arm
13,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?, i am not sure  
14,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", insect bite
15,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", recent injury
16,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", recent injury
17,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", none of these  
18,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", improving
19,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", worsening
20,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", the same
21,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", i am not sure  
22,Arm swelling ,"Arm swelling : are either of your calves swollen, puffy or enlarged? ", yes
23,Arm swelling ,"Arm swelling : are either of your calves swollen, puffy or enlarged? ", no 
24,Arm swelling ,Arm swelling : do you have pain in your calf? , yes
25,Arm swelling ,Arm swelling : do you have pain in your calf? , no  
26,Arm swelling ,Arm swelling : where does it hurt? , yes
27,Arm swelling ,Arm swelling : where does it hurt? , no 
28,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , front of the calf
29,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , top of the calf
30,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , bottom of calf
31,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , back of calf
32,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , side of calf
33,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , none of these 
34,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? , one calf
35,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? , both calfs
36,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? , i am not sure  
37,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , recent travel
38,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , pregnancy
39,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , recent injury
40,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , none of these
41,Arm swelling ,Arm swelling : how severe is the pain?, changing positions
42,Arm swelling ,Arm swelling : how severe is the pain?, climbing stairs
43,Arm swelling ,Arm swelling : how severe is the pain?, lying down
44,Arm swelling ,Arm swelling : how severe is the pain?, sitting down
45,Arm swelling ,Arm swelling : how severe is the pain?, standing
46,Arm swelling ,Arm swelling : how severe is the pain?, walking
47,Arm swelling ,Arm swelling : how severe is the pain?, none of these 
48,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", mild
49,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", severe
50,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", it wakes me at night
51,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", none of these 
52,Arm swelling ,Arm swelling : do you have trouble breathing or catching your breath? , yes
53,Arm swelling ,Arm swelling : do you have trouble breathing or catching your breath? , no 
54,Arm swelling ,Arm swelling : do you have pain anywhere in your legs? , yes
55,Arm swelling ,Arm swelling : do you have pain anywhere in your legs? , no 
56,Arm swelling ,Arm swelling : do you have fever? , yes
57,Arm swelling ,Arm swelling : do you have fever? , no 
58,Arm swelling ,Arm swelling : did any of these trigger your fever? , yes
59,Arm swelling ,Arm swelling : did any of these trigger your fever? , no 
60,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , dental procedure
61,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , recent travel
62,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , heat or sun exposure
63,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , pregnancy
64,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , recent surgery
65,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , recent vaccination
66,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these 
67,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , leg redness
68,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , skin lesions
69,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , foot swelling none of these 
70,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , warm skin on leg
71,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , insect bite
72,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , warm skin on arm
73,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these 
74,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , foot redness
75,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , finger pain
76,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , hand redness
77,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these  
78,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , armpit swelling
79,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , rash
80,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , foot pain
81,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these  
82,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , hand pain
83,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , itchy skin
84,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , varicose veins
85,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these  
0,Arm weakness,Arm weakness: when did it start?,Arm weakness
1,Arm weakness,Arm weakness: is one arm weak or are both? , today
2,Arm weakness,Arm weakness: is one arm weak or are both? , last week
3,Arm weakness,Arm weakness: is one arm weak or are both? , last month
4,Arm weakness,Arm weakness: is one arm weak or are both? , 1-3 months ago
5,Arm weakness,Arm weakness: is one arm weak or are both? , over 3 months ago
6,Arm weakness,Arm weakness: is one arm weak or are both? , years ago 
7,Arm weakness,Arm weakness: did the weakness start suddenly or over time?, one arm
8,Arm weakness,Arm weakness: did the weakness start suddenly or over time?, both arms
9,Arm weakness,Arm weakness: did the weakness start suddenly or over time?, i am not sure  
10,Arm weakness,Arm weakness: are you unable to move half of your body?, gradual
11,Arm weakness,Arm weakness: are you unable to move half of your body?, suddenly
12,Arm weakness,Arm weakness: are you unable to move half of your body?, i am not sure  
13,Arm weakness,"Arm weakness: do you get the sensation of numbness, tingling or prickling in your hands? ", yes
14,Arm weakness,"Arm weakness: do you get the sensation of numbness, tingling or prickling in your hands? ", no 
15,Arm weakness,Arm weakness: where do you feel numbness/tingling? , yes
16,Arm weakness,Arm weakness: where do you feel numbness/tingling? , no 
17,Arm weakness,Arm weakness: are your symptoms worse at a particular time of the day?, fingers
18,Arm weakness,Arm weakness: are your symptoms worse at a particular time of the day?, wrist
19,Arm weakness,Arm weakness: are your symptoms worse at a particular time of the day?, ring and pinky fingers
20,Arm weakness,Arm weakness: are your symptoms worse at a particular time of the day?, none of these
21,Arm weakness,Arm weakness: did any of these trigger your symptoms? , in morning
22,Arm weakness,Arm weakness: did any of these trigger your symptoms? , midday
23,Arm weakness,Arm weakness: did any of these trigger your symptoms? , in evening
24,Arm weakness,Arm weakness: did any of these trigger your symptoms? , at night time
25,Arm weakness,Arm weakness: did any of these trigger your symptoms? , none of these  
26,Arm weakness,Arm weakness: what makes it worse? , emotional stress
27,Arm weakness,Arm weakness: what makes it worse? , recent travel
28,Arm weakness,Arm weakness: what makes it worse? , recent injury
29,Arm weakness,Arm weakness: what makes it worse? , none of these  
30,Arm weakness,Arm weakness: are your symptoms in one hand or both hands? , exposure to cold
31,Arm weakness,Arm weakness: are your symptoms in one hand or both hands? , head movement
32,Arm weakness,Arm weakness: are your symptoms in one hand or both hands? , physical activity
33,Arm weakness,Arm weakness: are your symptoms in one hand or both hands? , pressing on area
34,Arm weakness,Arm weakness: are your symptoms in one hand or both hands? , resting
35,Arm weakness,Arm weakness: are your symptoms in one hand or both hands? , none of these  
36,Arm weakness,Arm weakness: do you have any neck pain? , one hand
37,Arm weakness,Arm weakness: do you have any neck pain? , both hands
38,Arm weakness,Arm weakness: do you have any neck pain? , i am not sure 
39,Arm weakness,Arm weakness: do you have pain in elbow?, yes
40,Arm weakness,Arm weakness: do you have pain in elbow?, no 
41,Arm weakness,Arm weakness: did your elbow pain starts after injury? , yes
42,Arm weakness,Arm weakness: did your elbow pain starts after injury? , no 
43,Arm weakness,Arm weakness: is your elbow pain getting better or getting worse? , yes
44,Arm weakness,Arm weakness: is your elbow pain getting better or getting worse? , no 
45,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? ,  better
46,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? , worse
47,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? , no change
48,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? , i am not sure
49,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? , hand pain
50,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? , arm pain
51,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? , shoulder pain
52,Arm weakness,Arm weakness: are you currently experiencing any of these symptoms? , none of these  
0,Armpit pain,Armpit pain: when did it start? ,Armpit pain
1,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , today
2,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , in last week
3,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , in last month
4,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , 1-3 months ago
5,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , over 3 months ago
6,Armpit pain,Armpit pain: how severe would you say it is? ,  one armpit
7,Armpit pain,Armpit pain: how severe would you say it is? , both armpit
8,Armpit pain,Armpit pain: how severe would you say it is? , i am not sure 
9,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", mild
10,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", severe
11,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", it wakes me at night
12,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", i am not sure 
13,Armpit pain,Armpit pain: what makes it worse?  , improving
14,Armpit pain,Armpit pain: what makes it worse?  , worsening
15,Armpit pain,Armpit pain: what makes it worse?  , the same
16,Armpit pain,Armpit pain: what makes it worse?  , i am not sure  
17,Armpit pain,Armpit pain: did any of these trigger your pain? , arm movement
18,Armpit pain,Armpit pain: did any of these trigger your pain? , cough
19,Armpit pain,Armpit pain: did any of these trigger your pain? , deep breathing
20,Armpit pain,Armpit pain: did any of these trigger your pain? , exercising
21,Armpit pain,Armpit pain: did any of these trigger your pain? , none of these  
22,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , insect bite
23,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , recent surgery
24,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , recent injury
25,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , none of these 
26,Armpit pain,Armpit pain: is it a stabbing type pain? , yes
27,Armpit pain,Armpit pain: is it a stabbing type pain? , no 
28,Armpit pain,Armpit pain: did it start gradually or suddenly?  , yes
29,Armpit pain,Armpit pain: did it start gradually or suddenly?  , no 
30,Armpit pain,Armpit pain: did you have pain in your breast? , suddenly
31,Armpit pain,Armpit pain: did you have pain in your breast? , gradually
32,Armpit pain,Armpit pain: did you have pain in your breast? , i am not sure  
33,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", yes
34,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", no 
35,Armpit pain,Armpit pain: are you breastfeeding? , yes
36,Armpit pain,Armpit pain: are you breastfeeding? , no 
37,Armpit pain,Armpit pain: is your breast red? , yes
38,Armpit pain,Armpit pain: is your breast red? , no 
39,Armpit pain,"Armpit pain: does any part of your neck look swollen, puffy or enlarged? ", yes
40,Armpit pain,"Armpit pain: does any part of your neck look swollen, puffy or enlarged? ", no 
41,Armpit pain,Armpit pain: have you recently given birth? , yes
42,Armpit pain,Armpit pain: have you recently given birth? , no 
43,Armpit pain,Armpit pain: do you have a fever? , yes
44,Armpit pain,Armpit pain: do you have a fever? , no 
45,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , yes
46,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , no 
47,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , armpit swelling
48,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , pain under jaw
49,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , groin pain
50,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , none of these 
51,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , ear swelling
52,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , ear pain
53,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , groin swelling
54,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , none of these  
55,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , neck pain
56,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , warm skin on breast
57,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , skin lesions
58,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms? , none of these  
59,Armpit pain,Armpit pain:,
0,Armpit pain,Armpit pain: when did it start? ,Armpit pain
1,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , today
2,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , in last week
3,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , in last month
4,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , 1-3 months ago
5,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , over 3 months ago 
6,Armpit pain,Armpit pain: what makes it worse?  , yes
7,Armpit pain,Armpit pain: what makes it worse?  , no 
8,Armpit pain,Armpit pain:  is it a stabbing type pain? , arm movement
9,Armpit pain,Armpit pain:  is it a stabbing type pain? , cough
10,Armpit pain,Armpit pain:  is it a stabbing type pain? , deep breathing
11,Armpit pain,Armpit pain:  is it a stabbing type pain? , exercising
12,Armpit pain,Armpit pain:  is it a stabbing type pain? , none of these  
13,Armpit pain,Armpit pain: how severe would you say it is? , yes
14,Armpit pain,Armpit pain: how severe would you say it is? , no 
15,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , mild
16,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , severe
17,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , it wakes me at night
18,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , i am not sure  
19,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", mild
20,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", severe
21,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", it wakes me at night
22,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", i am not sure 
23,Armpit pain,Armpit pain: did any of these trigger your pain? , one armpit
24,Armpit pain,Armpit pain: did any of these trigger your pain? , both armpit
25,Armpit pain,Armpit pain: did any of these trigger your pain? , i am not sure 
26,Armpit pain,Armpit pain: did it start gradually or suddenly?  , improving
27,Armpit pain,Armpit pain: did it start gradually or suddenly?  , worsening
28,Armpit pain,Armpit pain: did it start gradually or suddenly?  , the same
29,Armpit pain,Armpit pain: did it start gradually or suddenly?  , i am not sure  
30,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",  insect bite
31,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", recent surgery
32,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", recent injury
33,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", none of these 
34,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ", suddenly
35,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ", gradually
36,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ", i am not sure   
37,Armpit pain,Armpit pain: do you have a fever? , yes
38,Armpit pain,Armpit pain: do you have a fever? , no 
39,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , yes
40,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , no 
41,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , yes
42,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , no 
43,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , armpit swelling
44,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , pain under jaw
45,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , groin pain
46,Armpit pain,Armpit pain: are you currently experiencing any of the following symptoms?  , none of these  
0,Armpit swelling ,Armpit swelling : when did it start?,Armpit swelling 
1,Armpit swelling ,Armpit swelling : is this swelling painful? , today
2,Armpit swelling ,Armpit swelling : is this swelling painful? , in last week
3,Armpit swelling ,Armpit swelling : is this swelling painful? , in last month
4,Armpit swelling ,Armpit swelling : is this swelling painful? , 1-3 months ago
5,Armpit swelling ,Armpit swelling : is this swelling painful? , over 3 months ago 
6,Armpit swelling ,Armpit swelling : is one armpit swollen or are both? , yes
7,Armpit swelling ,Armpit swelling : is one armpit swollen or are both? , no 
8,Armpit swelling ,"Armpit swelling : is it getting better, worse or staying the same ", one armpit
9,Armpit swelling ,"Armpit swelling : is it getting better, worse or staying the same ", both armpits
10,Armpit swelling ,"Armpit swelling : is it getting better, worse or staying the same ", i am not sure  
11,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , improving
12,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , worsening
13,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , the same
14,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , i am not sure  
15,Armpit swelling ,Armpit swelling : do you have pain in your breast? , yes
16,Armpit swelling ,Armpit swelling : do you have pain in your breast? , no 
17,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps?", yes
18,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps?", no 
19,Armpit swelling ,Armpit swelling : are you breastfeeding? , yes
20,Armpit swelling ,Armpit swelling : are you breastfeeding? , no 
21,Armpit swelling ,"Armpit swelling : does any part of your neck look swollen, puffy or enlarged? ", yes
22,Armpit swelling ,"Armpit swelling : does any part of your neck look swollen, puffy or enlarged? ", no 
23,Armpit swelling ,Armpit swelling : is your breast red?  , yes
24,Armpit swelling ,Armpit swelling : is your breast red?  , no  
25,Armpit swelling ,Armpit swelling : which breast is red? , yes
26,Armpit swelling ,Armpit swelling : which breast is red? , no 
27,Armpit swelling ,Armpit swelling : did you recently give birth?      , one breast
28,Armpit swelling ,Armpit swelling : did you recently give birth?      , both breasts
29,Armpit swelling ,Armpit swelling : did you recently give birth?      , i am not sure  
30,Armpit swelling ,Armpit swelling : how severe would you say it is?, yes
31,Armpit swelling ,Armpit swelling : how severe would you say it is?, no 
32,Armpit swelling ,Armpit swelling : do you have fever? , mild
33,Armpit swelling ,Armpit swelling : do you have fever? , severe
34,Armpit swelling ,Armpit swelling : do you have fever? , i am not sure  
35,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , yes
36,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , no 
37,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , warm skin on breast
38,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , chills
39,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , armpit pain
40,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , none of these 
41,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , pain under jaw
42,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , groin pain
43,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , ear swelling
44,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , none of these  
45,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , ear pain
46,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , groin swelling
47,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , neck pain
48,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms?  , none of these  
49,Armpit swelling ,Armpit swelling :,
0,Armpit swelling ,Armpit swelling : when did it start?,Armpit swelling 
1,Armpit swelling ,Armpit swelling : is this swelling painful? , today
2,Armpit swelling ,Armpit swelling : is this swelling painful? , in last week
3,Armpit swelling ,Armpit swelling : is this swelling painful? , in last month
4,Armpit swelling ,Armpit swelling : is this swelling painful? , 1-3 months ago
5,Armpit swelling ,Armpit swelling : is this swelling painful? , over 3 months ago 
6,Armpit swelling ,Armpit swelling : is one armpit swollen or are both? , yes
7,Armpit swelling ,Armpit swelling : is one armpit swollen or are both? , no 
8,Armpit swelling ,"Armpit swelling : is it getting better, worse, or staying the same? ", one armpit
9,Armpit swelling ,"Armpit swelling : is it getting better, worse, or staying the same? ", both armpits
10,Armpit swelling ,"Armpit swelling : is it getting better, worse, or staying the same? ", i am not sure
11,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , improving
12,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , worsening
13,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , the same
14,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? , i am not sure  
15,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps? ", yes
16,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps? ", no 
17,Armpit swelling ,"Armpit swelling : does any part of your neck looks swollen, puffy or enlarged? ", yes
18,Armpit swelling ,"Armpit swelling : does any part of your neck looks swollen, puffy or enlarged? ", no 
19,Armpit swelling ,Armpit swelling : do you have a fever? , yes
20,Armpit swelling ,Armpit swelling : do you have a fever? , no  
21,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , Yes
22,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , no 
23,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , armpit pain
24,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , pain under jaw
25,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , groin pain
26,Armpit swelling ,Armpit swelling : are you currently experiencing any of these symptoms? , none of these  
0,Attention deficit,Attention deficit: when did it start? ,Attention deficit
1,Attention deficit,Attention deficit: how severe would you say it is? , today
2,Attention deficit,Attention deficit: how severe would you say it is? , last week
3,Attention deficit,Attention deficit: how severe would you say it is? , in last month
4,Attention deficit,Attention deficit: how severe would you say it is? , 1-3 months ago
5,Attention deficit,Attention deficit: how severe would you say it is? , over 3 months ago
6,Attention deficit,Attention deficit: how severe would you say it is? , years ago 
7,Attention deficit,Attention deficit: have you been feeling down or depressed in a way that impacts your daily life? , mild 
8,Attention deficit,Attention deficit: have you been feeling down or depressed in a way that impacts your daily life? , severe
9,Attention deficit,Attention deficit: have you been feeling down or depressed in a way that impacts your daily life? , i am not sure  
10,Attention deficit,"Attention deficit: are you feeling anxious, worried, or fearful in a way that impacts your daily activities? ", yes
11,Attention deficit,"Attention deficit: are you feeling anxious, worried, or fearful in a way that impacts your daily activities? ", no 
12,Attention deficit,Attention deficit: did either of these trigger your anxiety? , yes
13,Attention deficit,Attention deficit: did either of these trigger your anxiety? , no 
14,Attention deficit,Attention deficit: how anxious are you?, emotional stress
15,Attention deficit,Attention deficit: how anxious are you?, pregnancy
16,Attention deficit,Attention deficit: how anxious are you?, recent injury
17,Attention deficit,Attention deficit: how anxious are you?, none of these 
18,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ", somewhat anxious
19,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ", very anxious
20,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ", i can't sleep at night
21,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ", i am not sure  
22,Attention deficit,Attention deficit: did it start gradually or suddenly? , improving
23,Attention deficit,Attention deficit: did it start gradually or suddenly? , worsening
24,Attention deficit,Attention deficit: did it start gradually or suddenly? , the same
25,Attention deficit,Attention deficit: did it start gradually or suddenly? , i am not sure  
26,Attention deficit,Attention deficit: how often is this a problem? , suddenly
27,Attention deficit,Attention deficit: how often is this a problem? , gradually
28,Attention deficit,Attention deficit: how often is this a problem? , i am not sure  
29,Attention deficit,Attention deficit: do you have a headache? , about once a day
30,Attention deficit,Attention deficit: do you have a headache? , couple a times a day
31,Attention deficit,Attention deficit: do you have a headache? , couple of times a week
32,Attention deficit,Attention deficit: do you have a headache? , happens all the time
33,Attention deficit,Attention deficit: do you have a headache? , i am not sure
34,Attention deficit,Attention deficit: select the area where you feel pain in the diagram? ,  yes
35,Attention deficit,Attention deficit: select the area where you feel pain in the diagram? , no 
36,Attention deficit,Attention deficit: is your headache on one side or is it on both sides? , point out using diagram 
37,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , one side
38,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , both sides
39,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , i am not sure  
40,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , neck pain
41,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , dizziness
42,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , insomnia
43,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , none of these  
44,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , chest pain
45,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , fatigue
46,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , none of these  
47,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , heart palpitations
48,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , restlessness
49,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , irritability
50,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , none of these  
51,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , shortness of breath
52,Attention deficit,Attention deficit: are you currently experiencing any of these symptoms? , tremor
