,Unnamed: 0,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
375,1249.0,Arm swelling ,Arm swelling : did any of these trigger your fever? ,Arm swelling : yes
376,1250.0,Arm swelling ,Arm swelling : did any of these trigger your fever? ,Arm swelling : no 
377,1251.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : dental procedure
378,1252.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : recent travel
379,1253.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : heat or sun exposure
380,1254.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : pregnancy
381,1255.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : recent surgery
382,1256.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : recent vaccination
383,1257.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : none of these 
384,1258.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : leg redness
385,1259.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : skin lesions
386,1260.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : foot swelling none of these 
387,1261.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : warm skin on leg
388,1262.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : insect bite
389,1263.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : warm skin on arm
390,1264.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : none of these 
391,1265.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : foot redness
392,1266.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : finger pain
393,1267.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : hand redness
394,1268.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : none of these  
395,1269.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : armpit swelling
396,1270.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : rash
397,1271.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : foot pain
398,1272.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : none of these  
399,1273.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : hand pain
400,1274.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : itchy skin
401,1275.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : varicose veins
402,1276.0,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? ,Arm swelling : none of these  
403,1303.0,Arm weakness,"Arm weakness: do you get the sensation of numbness, tingling or prickling in your hands? ",Arm weakness: yes
404,1304.0,Arm weakness,"Arm weakness: do you get the sensation of numbness, tingling or prickling in your hands? ",Arm weakness: no 
405,,,,
406,,,,
407,,,,
408,,,,
409,1377.0,Armpit pain,Armpit pain: when did it start? ,Armpit pain:Armpit pain
410,1378.0,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? ,Armpit pain: today
411,1379.0,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? ,Armpit pain: in last week
412,1380.0,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? ,Armpit pain: in last month
413,1381.0,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? ,Armpit pain: 1-3 months ago
414,1382.0,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? ,Armpit pain: over 3 months ago
415,1383.0,Armpit pain,Armpit pain: how severe would you say it is? ,Armpit pain:  one armpit
416,1384.0,Armpit pain,Armpit pain: how severe would you say it is? ,Armpit pain: both armpit
417,1385.0,Armpit pain,Armpit pain: how severe would you say it is? ,Armpit pain: i am not sure 
418,1386.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: mild
419,1387.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: severe
420,1388.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: it wakes me at night
421,1389.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: i am not sure 
422,1390.0,Armpit pain,Armpit pain: what makes it worse?  ,Armpit pain: improving
423,1391.0,Armpit pain,Armpit pain: what makes it worse?  ,Armpit pain: worsening
424,1392.0,Armpit pain,Armpit pain: what makes it worse?  ,Armpit pain: the same
425,1393.0,Armpit pain,Armpit pain: what makes it worse?  ,Armpit pain: i am not sure  
426,1394.0,Armpit pain,Armpit pain: did any of these trigger your pain? ,Armpit pain: arm movement
427,1395.0,Armpit pain,Armpit pain: did any of these trigger your pain? ,Armpit pain: cough
428,1396.0,Armpit pain,Armpit pain: did any of these trigger your pain? ,Armpit pain: deep breathing
429,1397.0,Armpit pain,Armpit pain: did any of these trigger your pain? ,Armpit pain: exercising
430,1398.0,Armpit pain,Armpit pain: did any of these trigger your pain? ,Armpit pain: none of these  
431,1399.0,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  ,Armpit pain: insect bite
432,1400.0,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  ,Armpit pain: recent surgery
433,1401.0,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  ,Armpit pain: recent injury
434,1402.0,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  ,Armpit pain: none of these 
435,1403.0,Armpit pain,Armpit pain: is it a stabbing type pain? ,Armpit pain: yes
436,1404.0,Armpit pain,Armpit pain: is it a stabbing type pain? ,Armpit pain: no 
437,1405.0,Armpit pain,Armpit pain: did it start gradually or suddenly?  ,Armpit pain: yes
438,1406.0,Armpit pain,Armpit pain: did it start gradually or suddenly?  ,Armpit pain: no 
439,1407.0,Armpit pain,Armpit pain: did you have pain in your breast? ,Armpit pain: suddenly
440,1408.0,Armpit pain,Armpit pain: did you have pain in your breast? ,Armpit pain: gradually
441,1409.0,Armpit pain,Armpit pain: did you have pain in your breast? ,Armpit pain: i am not sure  
442,1410.0,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",Armpit pain: yes
443,1411.0,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",Armpit pain: no 
444,1412.0,Armpit pain,Armpit pain: are you breastfeeding? ,Armpit pain: yes
445,1413.0,Armpit pain,Armpit pain: are you breastfeeding? ,Armpit pain: no 
446,1414.0,Armpit pain,Armpit pain: is your breast red? ,Armpit pain: yes
447,1415.0,Armpit pain,Armpit pain: is your breast red? ,Armpit pain: no 
448,1416.0,Armpit pain,"Armpit pain: does any part of your neck look swollen, puffy or enlarged? ",Armpit pain: yes
449,1417.0,Armpit pain,"Armpit pain: does any part of your neck look swollen, puffy or enlarged? ",Armpit pain: no 
450,1418.0,Armpit pain,Armpit pain: have you recently given birth? ,Armpit pain: yes
451,1419.0,Armpit pain,Armpit pain: have you recently given birth? ,Armpit pain: no 
452,1420.0,Armpit pain,Armpit pain: do you have a fever? ,Armpit pain: yes
453,1421.0,Armpit pain,Armpit pain: do you have a fever? ,Armpit pain: no 
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,1475.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: mild
469,1476.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: severe
470,1477.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: it wakes me at night
471,1478.0,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ",Armpit pain: i am not sure 
472,1493.0,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",Armpit pain:  insect bite
473,1494.0,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",Armpit pain: recent surgery
474,1495.0,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",Armpit pain: recent injury
475,1496.0,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",Armpit pain: none of these 
476,1497.0,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ",Armpit pain: suddenly
477,1498.0,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ",Armpit pain: gradually
478,1499.0,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ",Armpit pain: i am not sure   
479,,,,
480,,,,
481,,,,
482,,,,
483,1516.0,Armpit swelling ,Armpit swelling : when did it start?,Armpit swelling :Armpit swelling 
484,1517.0,Armpit swelling ,Armpit swelling : is this swelling painful? ,Armpit swelling : today
485,1518.0,Armpit swelling ,Armpit swelling : is this swelling painful? ,Armpit swelling : in last week
486,1519.0,Armpit swelling ,Armpit swelling : is this swelling painful? ,Armpit swelling : in last month
487,1520.0,Armpit swelling ,Armpit swelling : is this swelling painful? ,Armpit swelling : 1-3 months ago
488,1521.0,Armpit swelling ,Armpit swelling : is this swelling painful? ,Armpit swelling : over 3 months ago 
489,1522.0,Armpit swelling ,Armpit swelling : is one armpit swollen or are both? ,Armpit swelling : yes
490,1523.0,Armpit swelling ,Armpit swelling : is one armpit swollen or are both? ,Armpit swelling : no 
491,1524.0,Armpit swelling ,"Armpit swelling : is it getting better, worse or staying the same ",Armpit swelling : one armpit
492,1525.0,Armpit swelling ,"Armpit swelling : is it getting better, worse or staying the same ",Armpit swelling : both armpits
493,1526.0,Armpit swelling ,"Armpit swelling : is it getting better, worse or staying the same ",Armpit swelling : i am not sure  
494,1527.0,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? ,Armpit swelling : improving
495,1528.0,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? ,Armpit swelling : worsening
496,1529.0,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? ,Armpit swelling : the same
497,1530.0,Armpit swelling ,Armpit swelling : was your symptom triggered by a recent surgery? ,Armpit swelling : i am not sure  
498,1531.0,Armpit swelling ,Armpit swelling : do you have pain in your breast? ,Armpit swelling : yes
499,1532.0,Armpit swelling ,Armpit swelling : do you have pain in your breast? ,Armpit swelling : no 
500,1533.0,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps?",Armpit swelling : yes
501,1534.0,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps?",Armpit swelling : no 
502,1535.0,Armpit swelling ,Armpit swelling : are you breastfeeding? ,Armpit swelling : yes
503,1536.0,Armpit swelling ,Armpit swelling : are you breastfeeding? ,Armpit swelling : no 
504,1537.0,Armpit swelling ,"Armpit swelling : does any part of your neck look swollen, puffy or enlarged? ",Armpit swelling : yes
505,1538.0,Armpit swelling ,"Armpit swelling : does any part of your neck look swollen, puffy or enlarged? ",Armpit swelling : no 
506,1539.0,Armpit swelling ,Armpit swelling : is your breast red?  ,Armpit swelling : yes
507,1540.0,Armpit swelling ,Armpit swelling : is your breast red?  ,Armpit swelling : no  
508,1541.0,Armpit swelling ,Armpit swelling : which breast is red? ,Armpit swelling : yes
509,1542.0,Armpit swelling ,Armpit swelling : which breast is red? ,Armpit swelling : no 
510,1543.0,Armpit swelling ,Armpit swelling : did you recently give birth?      ,Armpit swelling : one breast
511,1544.0,Armpit swelling ,Armpit swelling : did you recently give birth?      ,Armpit swelling : both breasts
512,1545.0,Armpit swelling ,Armpit swelling : did you recently give birth?      ,Armpit swelling : i am not sure  
513,1546.0,Armpit swelling ,Armpit swelling : how severe would you say it is?,Armpit swelling : yes
514,1547.0,Armpit swelling ,Armpit swelling : how severe would you say it is?,Armpit swelling : no 
515,1548.0,Armpit swelling ,Armpit swelling : do you have fever? ,Armpit swelling : mild
516,1549.0,Armpit swelling ,Armpit swelling : do you have fever? ,Armpit swelling : severe
517,1550.0,Armpit swelling ,Armpit swelling : do you have fever? ,Armpit swelling : i am not sure  
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,1582.0,Armpit swelling ,"Armpit swelling : is it getting better, worse, or staying the same? ",Armpit swelling : one armpit
533,1583.0,Armpit swelling ,"Armpit swelling : is it getting better, worse, or staying the same? ",Armpit swelling : both armpits
534,1584.0,Armpit swelling ,"Armpit swelling : is it getting better, worse, or staying the same? ",Armpit swelling : i am not sure
535,1593.0,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps? ",Armpit swelling : yes
536,1594.0,Armpit swelling ,"Armpit swelling : touching your neck, armpit, and groin can feel any soft, round, pea-sized nodes or lumps? ",Armpit swelling : no 
537,1595.0,Armpit swelling ,"Armpit swelling : does any part of your neck looks swollen, puffy or enlarged? ",Armpit swelling : yes
538,1596.0,Armpit swelling ,"Armpit swelling : does any part of your neck looks swollen, puffy or enlarged? ",Armpit swelling : no 
539,,,,
540,,,,
541,,,,
542,,,,
543,1629.0,Attention deficit,"Attention deficit: are you feeling anxious, worried, or fearful in a way that impacts your daily activities? ",Attention deficit: yes
544,1630.0,Attention deficit,"Attention deficit: are you feeling anxious, worried, or fearful in a way that impacts your daily activities? ",Attention deficit: no 
545,1643.0,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ",Attention deficit: somewhat anxious
546,1644.0,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ",Attention deficit: very anxious
547,1645.0,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ",Attention deficit: i can't sleep at night
548,1646.0,Attention deficit,"Attention deficit:  is it getting better, worse, or staying the same? ",Attention deficit: i am not sure  
549,,,,
550,,,,
551,,,,
552,,,,
553,1733.0,Attention deficit,Attention deficit:,Attention deficit:							
554,1734.0,Back pain,Back pain: When did it start?,Back pain:Back pain
555,1735.0,Back pain,Back pain: Does your back pain radiate to any of these areas?,Back pain: Today
556,1736.0,Back pain,Back pain: Does your back pain radiate to any of these areas?,Back pain: In the last week
557,1737.0,Back pain,Back pain: Does your back pain radiate to any of these areas?,Back pain: In the last month
558,1738.0,Back pain,Back pain: Does your back pain radiate to any of these areas?,Back pain: 1-3 months ago
559,1739.0,Back pain,Back pain: Does your back pain radiate to any of these areas?,Back pain: Over 3 months ago
560,1740.0,Back pain,Back pain: Does your back pain radiate to any of these areas?,Back pain: Years ago
561,1741.0,Back pain,Back pain: Did any of these trigger your back pain?,Back pain: Head
562,1742.0,Back pain,Back pain: Did any of these trigger your back pain?,Back pain: Hand or fingers
563,1743.0,Back pain,Back pain: Did any of these trigger your back pain?,Back pain: Arm
564,1744.0,Back pain,Back pain: Did any of these trigger your back pain?,Back pain: Chest
565,1745.0,Back pain,Back pain: Did any of these trigger your back pain?,Back pain: None of the above
566,1746.0,Back pain,Back pain: Do any of these actions make your back pain worse?,Back pain: Exposure to cold
567,1747.0,Back pain,Back pain: Do any of these actions make your back pain worse?,Back pain: Pregnancy
568,1748.0,Back pain,Back pain: Do any of these actions make your back pain worse?,Back pain: Recent injury
569,1749.0,Back pain,Back pain: Do any of these actions make your back pain worse?,Back pain: None of the above
570,1750.0,Back pain,Back pain: Is your pain primarily on one side?,Back pain: Changing positions
571,1751.0,Back pain,Back pain: Is your pain primarily on one side?,Back pain: Cough
572,1752.0,Back pain,Back pain: Is your pain primarily on one side?,Back pain: Deep breathing
573,1753.0,Back pain,Back pain: Is your pain primarily on one side?,Back pain: Leaning forward
574,1754.0,Back pain,Back pain: Is your pain primarily on one side?,Back pain: None of the above
575,1755.0,Back pain,Back pain: How uncomfortable does it make you feel?,Back pain: Yes it is
576,1756.0,Back pain,Back pain: How uncomfortable does it make you feel?,Back pain: No both sides hurt
577,1757.0,Back pain,Back pain: How uncomfortable does it make you feel?,Back pain: I'm not sure
578,1758.0,Back pain,Back pain: Do any of these ease your pain?,Back pain: Somewhat uncomfortable
579,1759.0,Back pain,Back pain: Do any of these ease your pain?,Back pain: Very uncomfortable
580,1760.0,Back pain,Back pain: Do any of these ease your pain?,Back pain: It wakes me at night
581,1761.0,Back pain,Back pain: Do any of these ease your pain?,Back pain: I'm not sure
582,1762.0,Back pain,Back pain: Did your back pain start gradually?,Back pain: Applying heat
583,1763.0,Back pain,Back pain: Did your back pain start gradually?,Back pain: Resting
584,1764.0,Back pain,Back pain: Did your back pain start gradually?,Back pain: Sitting down
585,1765.0,Back pain,Back pain: Did your back pain start gradually?,Back pain: Stretching
586,1766.0,Back pain,Back pain: Did your back pain start gradually?,Back pain: None of the above
587,1767.0,Back pain,Back pain: Does any of these describe your pain?,Back pain: Yes it did
588,1768.0,Back pain,Back pain: Does any of these describe your pain?,Back pain: No started suddenly
589,1769.0,Back pain,Back pain: Does any of these describe your pain?,Back pain: I'm not sure
590,1770.0,Back pain,Back pain: Have you recently engaged in unprotected sexual intercourse?,Back pain: Burning
591,1771.0,Back pain,Back pain: Have you recently engaged in unprotected sexual intercourse?,Back pain: Stabbing
592,1772.0,Back pain,Back pain: Have you recently engaged in unprotected sexual intercourse?,Back pain: Vague
593,1773.0,Back pain,Back pain: Have you recently engaged in unprotected sexual intercourse?,Back pain: None of the above
594,1774.0,Back pain,"Back pain: Do you have pain, pressure or discomfort in your chest?",Back pain: Yes/No
595,1775.0,Back pain,Back pain: Do you have pain or discomfort in your abdomen?,Back pain: Yes/No
596,1776.0,Back pain,Back pain: Do you have a burning sensation or pain during or after peeing?,Back pain: Yes/No
597,1777.0,Back pain,Back pain: Do you have chills?,Back pain: Yes/No 
598,1778.0,Back pain,Back pain: Do you have a fever?,Back pain: Yes/No
599,1779.0,Back pain,Back pain: Do you have limited range of motion or pain when moving your neck?,Back pain: Yes/No
600,1780.0,Back pain,Back pain: Do you have blood in your urine? ,Back pain: Yes/No
601,1781.0,Back pain,Back pain: Have you been vomiting?,Back pain: Yes/No
602,1782.0,Back pain,Back pain: Do you feel sick to your stomach (as if you might throw up)?,Back pain: Yes/No
603,1783.0,Back pain,Back pain: Do you need to urinate much more than usual?,Back pain: Yes/No
604,1784.0,Back pain,Back pain: Have you been significantly more tired than usual (despite getting enough sleep?),Back pain: Yes/No
605,1785.0,Back pain,Back pain: Do you smoke?,Back pain: Yes/No
606,,,,
607,,,,
608,,,,
609,1789.0,Back pain,Back pain: Do you have rash anywhere on your body?,Back pain: Lack of menstruation
610,1790.0,Back pain,Back pain: Do you have rash anywhere on your body?,Back pain: Heavy or prolonged period
611,1791.0,Back pain,Back pain: Do you have rash anywhere on your body?,Back pain: Vaginal bleeding
612,1792.0,Back pain,Back pain: Do you have rash anywhere on your body?,Back pain: None of the above
613,,,,
614,,,,
615,,,,
616,,,,
617,,,,
618,,,,
619,,,,
620,,,,
621,,,,
622,1806.0,Bad breath,Bad breath: When did it start?,Bad breath:Bad breath
623,1807.0,Bad breath,Bad breath: Do you have a burning sensation in your chest or upper stomach?,Bad breath: Today
624,1808.0,Bad breath,Bad breath: Do you have a burning sensation in your chest or upper stomach?,Bad breath: In the last week
625,1809.0,Bad breath,Bad breath: Do you have a burning sensation in your chest or upper stomach?,Bad breath: In the last month
626,1810.0,Bad breath,Bad breath: Do you have a burning sensation in your chest or upper stomach?,Bad breath: 1-3 months ago
627,1811.0,Bad breath,Bad breath: Do you have a burning sensation in your chest or upper stomach?,Bad breath: Over 3 months ago
628,1812.0,Bad breath,Bad breath: Do you have a burning sensation in your chest or upper stomach?,Bad breath: Years ago
629,1813.0,Bad breath,Bad breath: Do any of these activities make your heartburn worse?,Bad breath: Yes/No
630,1814.0,Bad breath,Bad breath: How severe would you say it is?,Bad breath: Eating
631,1815.0,Bad breath,Bad breath: How severe would you say it is?,Bad breath: Lying down
632,1816.0,Bad breath,Bad breath: How severe would you say it is?,Bad breath: Physical activity
633,1817.0,Bad breath,Bad breath: How severe would you say it is?,Bad breath: None of the above
634,1818.0,Bad breath,Bad breath: Did either of these trigger your heartburn? ,Bad breath: Mild
635,1819.0,Bad breath,Bad breath: Did either of these trigger your heartburn? ,Bad breath: Severe
636,1820.0,Bad breath,Bad breath: Did either of these trigger your heartburn? ,Bad breath: It wakes me at night
637,1821.0,Bad breath,Bad breath: Did either of these trigger your heartburn? ,Bad breath: I'm not sure
638,1822.0,Bad breath,Bad breath: Do you have a hard-to-remove white layer or patches on the upper surface of your tongue?,Bad breath: Eating in general
639,1823.0,Bad breath,Bad breath: Do you have a hard-to-remove white layer or patches on the upper surface of your tongue?,Bad breath: Eating suspect food
640,1824.0,Bad breath,Bad breath: Do you have a hard-to-remove white layer or patches on the upper surface of your tongue?,Bad breath: Recent injury
641,1825.0,Bad breath,Bad breath: Do you have a hard-to-remove white layer or patches on the upper surface of your tongue?,Bad breath: None of the above
642,,,,
643,,,,
644,,,,
645,,,,
646,,,,
647,1831.0,Bad breath,Bad breath: Have you been diagnosed with high blood pressure by a doctor?,Bad breath: Cough
648,1832.0,Bad breath,Bad breath: Have you been diagnosed with high blood pressure by a doctor?,Bad breath: Mouth sores
649,1833.0,Bad breath,Bad breath: Have you been diagnosed with high blood pressure by a doctor?,Bad breath: Sore throat
650,1834.0,Bad breath,Bad breath: Have you been diagnosed with high blood pressure by a doctor?,Bad breath: None of the above
651,1835.0,Bad breath,Bad breath: Have you been diagnosed with Diabetes (Type ) by a doctor?,Bad breath: Yes/No
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,,,,
664,,,,
665,,,,
666,,,,
667,,,,
668,,,,
669,1854.0,Bad or bitter taste,Bad or bitter taste: When did it start? ,Bad or bitter taste:Bad or bitter taste
670,1855.0,Bad or bitter taste,Bad or bitter taste: How bad is the taste?,Bad or bitter taste: Today
671,1856.0,Bad or bitter taste,Bad or bitter taste: How bad is the taste?,Bad or bitter taste: In the last week
672,1857.0,Bad or bitter taste,Bad or bitter taste: How bad is the taste?,Bad or bitter taste: In the last month
673,1858.0,Bad or bitter taste,Bad or bitter taste: How bad is the taste?,Bad or bitter taste: 1-3 months ago
674,1859.0,Bad or bitter taste,Bad or bitter taste: How bad is the taste?,Bad or bitter taste: Over 3 months ago
675,1860.0,Bad or bitter taste,Bad or bitter taste: How bad is the taste?,Bad or bitter taste: Years ago
676,1861.0,Bad or bitter taste,Bad or bitter taste: Do you have a burning sensation in your chest or upper stomach?,Bad or bitter taste: Mild
677,1862.0,Bad or bitter taste,Bad or bitter taste: Do you have a burning sensation in your chest or upper stomach?,Bad or bitter taste: Severe
678,1863.0,Bad or bitter taste,Bad or bitter taste: Do you have a burning sensation in your chest or upper stomach?,Bad or bitter taste: I'm not sure
679,1864.0,Bad or bitter taste,Bad or bitter taste: Do you have a hard-to-remove white layer or patches on the upper surface of your tongue?,Bad or bitter taste: Yes/No
680,1865.0,Bad or bitter taste,Bad or bitter taste: Is either half of your body drooping?,Bad or bitter taste: Yes/No
681,1866.0,Bad or bitter taste,Bad or bitter taste: Are either of your eyelids drooping over your eye(s)?,Bad or bitter taste: Yes/No
682,1867.0,Bad or bitter taste,"Bad or bitter taste: Does any part of your face feel numb, tingly or prickly?",Bad or bitter taste: Yes/No
683,1868.0,Bad or bitter taste,Bad or bitter taste: Does your mouth or tongue hurt?,Bad or bitter taste: Yes/No
684,1869.0,Bad or bitter taste,Bad or bitter taste: Do you have any ear pain?,Bad or bitter taste: Yes/No
685,1870.0,Bad or bitter taste,Bad or bitter taste: Do you have sores or lesionson the inside of your mouth or on your lips?,Bad or bitter taste: Yes/No
686,1871.0,Bad or bitter taste,Bad or bitter taste: Do you have pain or discomfort in your abdomen?,Bad or bitter taste: Yes/No
687,1872.0,Bad or bitter taste,"Bad or bitter taste: Have you lost your voice (is your voice hoarse, raspy or strained)?",Bad or bitter taste: Yes/No
688,1873.0,Bad or bitter taste,Bad or bitter taste: Do you have a cough?,Bad or bitter taste: Yes/No 
689,1874.0,Bad or bitter taste,Bad or bitter taste: Do you have a sore throat?,Bad or bitter taste: Yes/No 
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,1880.0,Bad or bitter taste,Bad or bitter taste: Have you been diagnosed with ischemic heart disease (IHD) or coronary artey disease (CAD) by a physician?,Bad or bitter taste: Facial pain
696,1881.0,Bad or bitter taste,Bad or bitter taste: Have you been diagnosed with ischemic heart disease (IHD) or coronary artey disease (CAD) by a physician?,Bad or bitter taste: Decreased hearing
697,1882.0,Bad or bitter taste,Bad or bitter taste: Have you been diagnosed with ischemic heart disease (IHD) or coronary artey disease (CAD) by a physician?,Bad or bitter taste: Mouth dryness
698,1883.0,Bad or bitter taste,Bad or bitter taste: Have you been diagnosed with ischemic heart disease (IHD) or coronary artey disease (CAD) by a physician?,Bad or bitter taste: None of the above
699,,,,
700,,,,
701,,,,
702,,,,
703,,,,
704,1890.0,Black stool,Black stool: When did it start?,Black stool:Black stool
705,1891.0,Black stool,Black stool: Do you have pain or discomfort in your abdomen?,Black stool: Today
706,1892.0,Black stool,Black stool: Do you have pain or discomfort in your abdomen?,Black stool: In the last week
707,1893.0,Black stool,Black stool: Do you have pain or discomfort in your abdomen?,Black stool: In the last month
708,1894.0,Black stool,Black stool: Do you have pain or discomfort in your abdomen?,Black stool: 1-3 months ago
709,1895.0,Black stool,Black stool: Do you have pain or discomfort in your abdomen?,Black stool: Over 3 months ago
710,1896.0,Black stool,Black stool: Do you have pain or discomfort in your abdomen?,Black stool: Years ago
711,1897.0,Black stool,Black stool: Are your stools loose or watery?,Black stool: Yes/No
712,1898.0,Black stool,Black stool: Do you have a burning sensation in your chest or upper stomach?,Black stool: Yes/No
713,1899.0,Black stool,Black stool: Have you been vomiting?,Black stool: Yes/No
714,1900.0,Black stool,Black stool: Do you feel sick to your stomach (as if you might throw up)?,Black stool: Yes/No
715,1901.0,Black stool,Black stool: Is there blood in your stool?,Black stool: Yes/No
716,1902.0,Black stool,Black stool: Do you have fever?,Black stool: Yes/No
717,1903.0,Black stool,Black stool: Have you been significantly more tired than usual (despite getting enough sleep)?,Black stool: Yes/No
718,,,,
719,,,,
720,,,,
721,,,,
722,,,,
723,,,,
724,,,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,1926.0,Blood in stool,Blood in stool: When did it start?,Blood in stool:Blood in stool
740,1927.0,Blood in stool,Blood in stool: Did it start after going to the bathroom?,Blood in stool: Today
741,1928.0,Blood in stool,Blood in stool: Did it start after going to the bathroom?,Blood in stool: In the last week
742,1929.0,Blood in stool,Blood in stool: Did it start after going to the bathroom?,Blood in stool: In the last month
743,1930.0,Blood in stool,Blood in stool: Did it start after going to the bathroom?,Blood in stool: 1-3 months ago
744,1931.0,Blood in stool,Blood in stool: Did it start after going to the bathroom?,Blood in stool: Over 3 months ago
745,1932.0,Blood in stool,Blood in stool: how heavy is your rectal bleeding?,Blood in stool: Yes/No
746,1933.0,Blood in stool,"Blood in stool: Do you have any pain when sitting down, passing stool, or wiping?",Blood in stool: Light bleeding
747,1934.0,Blood in stool,"Blood in stool: Do you have any pain when sitting down, passing stool, or wiping?",Blood in stool: Heavy bleeding
